"Poseidon","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Darren","Poseidon_","0068","Poseidon_0068","","","","Зачекай-но хвильку! Щоб ти знав, я просто не можу приймати такі дарунки, залишивши тебе з пустими руками! Тому, я хочу щоб ти взяв це, разом з моєю вдячністю!","","",""
"Darren","Poseidon_","0069","Poseidon_0069","","","","О, та це ж найкраще підношення за цілий день, Племіннику! Ти занадто щедрий! Але, і я такий же, бо маю невеличку дрібничку для тебе!","","",""
"Integrated","Poseidon_","0070","Poseidon_0070","","","","Хто сміє нападати на мого племінника?!","","",""
"Integrated","Poseidon_","0071","Poseidon_0071","","","","Ти зможеш, Аїде молодший!!","","",""
"Integrated","Poseidon_","0072","Poseidon_0072","","","","Поглинь їх, Племіннику!!","","",""
"Integrated","Poseidon_","0075","Poseidon_0075","","","","Гарні припливи, Племіннику!","","",""
"Integrated","Poseidon_","0076","Poseidon_0076","","","","Спокійного плавання, Аїде молодший?","","",""
"Integrated","Poseidon_","0077","Poseidon_0077","","","","Егегей, племіннику, це я!","","",""
"Darren","Poseidon_","0078","Poseidon_0078","","","","Як ся маєш, Племіннику, все добре?","","",""
"Darren","Poseidon_","0079","Poseidon_0079","","","","Радий тебе бачити, Племіннику!","","",""
"Integrated","Poseidon_","0080","Poseidon_0080","","","","Жодних проблем так чи інакше!","","",""
"Darren","Poseidon_","0081","Poseidon_0081","","","","Певно що так!","","",""
"Integrated","Poseidon_","0082","Poseidon_0082","","","","Без проблем, Племіннику!","","",""
"Integrated","Poseidon_","0083","Poseidon_0083","","","","Звичайно, Племіннику!","","",""
"Darren","Poseidon_","0084","Poseidon_0084","","","","Легко, зробимо!","","",""
"Integrated","Poseidon_","0085","Poseidon_0085","","","","Я надзвичайно вдячний, Племіннику!","","",""
"Integrated","Poseidon_","0086","Poseidon_0086","","","","Моя вдячність така ж безмежна як і море!","","",""
"Integrated","Poseidon_","0087","Poseidon_0087","","","","Я дуже сильно ціную це!","","",""
"Integrated","Poseidon_","0088","Poseidon_0088","","","","Ти шануєш свого Лорда Дядька, малий Племіннику!","","",""
"Integrated","Poseidon_","0089","Poseidon_0089","","","","Я маю за честь називати тебе племінником, малий Племіннику!","","",""
"Integrated","Poseidon_","0090","Poseidon_0090","","","","Це дуже щедро з твого боку!","","",""
"Integrated","Poseidon_","0091","Poseidon_0091","","","","Я вдячний за цей жест!","","",""
"Darren","Poseidon_","0092","Poseidon_0092","","","","Маю для тебе дещо, Племіннику!","","",""
"Darren","Poseidon_","0093","Poseidon_0093","","","","Маю для тебе щось, Аїде молодший!","","",""
"Darren","Poseidon_","0094","Poseidon_0094","","","","Ось, дивись, я приніс тобі ЦЕ!","","",""
"Integrated","Poseidon_","0095","Poseidon_0095","","","","Думаю тобі це сподобається!","","",""
"Darren","Poseidon_","0096","Poseidon_0096","","","","Не бери до голови, Племіннику!","","",""
"Darren","Poseidon_","0097","Poseidon_0097","","","","Хох, це достобіса сумно.","","",""
"Integrated","Poseidon_","0098","Poseidon_0098","","","","Ах, ха-ха, як незручно!","","",""
"Darren","Poseidon_","0099","Poseidon_0099","","","","Це був невеличкий прорахунок!","","",""
"Darren","Poseidon_","0100","Poseidon_0100","","","","Це була серйозна помилка!","","",""
"Darren","Poseidon_","0101","Poseidon_0101","","","","Уф, це було ненавмисно...!","","",""
"Darren","Poseidon_","0102","Poseidon_0102","","","","Це була не дуже граційна спроба!","","",""
"Integrated","Poseidon_","0103","Poseidon_0103","","","","Не рекомендую поводитися легковажно зі мною, Племіннику!","","",""
"Integrated","Poseidon_","0104","Poseidon_0104","","","","О, не слід було цього робити.","","",""
"Integrated","Poseidon_","0105","Poseidon_0105","","","","Моя терпимість має межі, Аїде молодший.","","",""
"Integrated","Poseidon_","0106","Poseidon_0106","","","","Ах ти маленька воша...!","","",""
"Integrated","Poseidon_","0107","Poseidon_0107","","","","Ти поводишся як дурень!","","",""
"Integrated","Poseidon_","0108","Poseidon_0108","","","","Тим ким себе вважаєш!","","",""
"Integrated","Poseidon_","0109","Poseidon_0109","","","","Ти не можеш ТАК ставитись до свого дядька!","","",""
"Darren","Poseidon_","0110","Poseidon_0110","","","","Не зацікавлений, Племіннику.","","",""
"Darren","Poseidon_","0111","Poseidon_0111","","","","Я зараз трохи зайнятий?","","",""
"Darren","Poseidon_","0112","Poseidon_0112","","","","Не турбуй мене зараз!","","",""
"Darren","Poseidon_","0113","Poseidon_0113","","","","Це було щось!","","",""
"Darren","Poseidon_","0114","Poseidon_0114","","","","Це було щось...!","","",""
"Integrated","Poseidon_","0115","Poseidon_0115","","","","Клянуся собою!","","",""
"Darren","Poseidon_","0116","Poseidon_0116","","","","Клянуся собою...!","","",""
"Darren","Poseidon_","0117","Poseidon_0117","","","","Безглуздо!","","",""
"Darren","Poseidon_","0118","Poseidon_0118","","","","Безглуздо...!","","",""
"Darren","Poseidon_","0119","Poseidon_0119","","","","Неможливо!","","",""
"Darren","Poseidon_","0120","Poseidon_0120","","","","Неможливо...!","","",""
"Integrated","Poseidon_","0121","Poseidon_0121","","","","Щооооо?","","",""
"Darren","Poseidon_","0122","Poseidon_0122","","","","Щооооо...?","","",""
"Darren","Poseidon_","0123","Poseidon_0123","","","","Так, це мій племінник!","","",""
"Darren","Poseidon_","0124","Poseidon_0124","","","","ОЦЕ було неперевершено!","","",""
"Darren","Poseidon_","0125","Poseidon_0125","","","","Ох, хохохо, це було гарно!","","",""
"Darren","Poseidon_","0126","Poseidon_0126","","","","Гарно зроблено, Аїде молодший!","","",""
"Darren","Poseidon_","0127","Poseidon_0127","","","","Я знав що тобі вдасться!","","",""
"Unused","Poseidon_","0133","Poseidon_0133","","","","Маю тобі дещо сказати, Аїде молодший: Мої родичі і я, ми приховували один з наших найбільших дарунків!! Щоб побачити чи ти гідний. А ти гідний! Дозволь тобі представити... дар чистої, неприборканої люті!!","","",""
"To Be Integrated","Poseidon_","0135","Poseidon_0135","","","","Фух! Я знову виграв, хаха! Цей Гермес, він швидкий, і проворний хоч куди. Але я сильний, тому й найшвидший серед всіх!","","",""
"Integrated","Poseidon_","0148","Poseidon_0148","","","","","","",""
"Integrated","Poseidon_","0149","Poseidon_0149","","","","","","",""
"Integrated","Poseidon_","0150","Poseidon_0150","","","","","","",""
"Integrated","Poseidon_","0151","Poseidon_0151","","","","","","",""
"Integrated","Poseidon_","0152","Poseidon_0152","","","","","","",""
"Integrated","Poseidon_","0153","Poseidon_0153","","","","","","",""
"Integrated","Poseidon_","0154","Poseidon_0154","","","","","","",""
"Integrated","Poseidon_","0155","Poseidon_0155","","","","","","",""
"Integrated","Poseidon_","0156","Poseidon_0156","","","","","","",""
"Integrated","Poseidon_","0202","Poseidon_0202","","","","Хаха, як я і думав!","","",""
"Integrated","Poseidon_","0203","Poseidon_0203","","","","Вибору немає, чи не так?!","","",""
"Integrated","Poseidon_","0204","Poseidon_0204","","","","Гарний вибір!","","",""
"Integrated","Poseidon_","0205","Poseidon_0205","","","","Ах, хахаха, так!","","",""
"Integrated","Poseidon_","0206","Poseidon_0206","","","","Гарний вибір, Аїде молодший!","","",""
"Integrated","Poseidon_","0207","Poseidon_0207","","","","Гарний вибір, Племіннику!","","",""
"Integrated","Poseidon_","0208","Poseidon_0208","","","","Наступного разу, Племіннику, не будь таким дурнем!","","",""
"Integrated","Poseidon_","0209","Poseidon_0209","","","","Ти зневажаєш море, і воно зобов'язане тебе поглинути!","","",""
"Integrated","Poseidon_","0210","Poseidon_0210","","","","Наступного разу, не забувайся, племіннику!","","",""
"Integrated","Poseidon_","0211","Poseidon_0211","","","","Час наробити бризок!","","",""
"Integrated","Poseidon_","0212","Poseidon_0212","","","","Приборкай могутність океану!","","",""
"Integrated","Poseidon_","0213","Poseidon_0213","","","","Лови хвилю, Племіннику!","","",""
"Integrated","Poseidon_","0214","Poseidon_0214","","","","Ось вам справжня сила води!","","",""
"Integrated","Poseidon_","0215","Poseidon_0215","","","","Ти просиш мене про допомогу зараз?!","","",""
"Integrated","Poseidon_","0216","Poseidon_0216","","","","Де твій сором, Племіннику?!","","",""
"Integrated","Poseidon_","0217","Poseidon_0217","","","","Оу, зараз тобі потрібна моя допомога?!","","",""
